id,brand,supplier_sku,title,finish,construction,status,width_mm,height_mm,depth_mm,model_url,source_url,review_reasons
oppein-ply-pgw-3db18,OPPEIN,PLY-PGW-3DB18,3 Drawer Base Cabinet,White High Gloss,Plywood,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-ply-pgw-3db18.glb,https://www.oppeincabinetry.ca/shop/ply-pgw-3db18-3-drawer-base-cabinet-15435,
oppein-ply-pgw-3db21,OPPEIN,PLY-PGW-3DB21,3 Drawer Base Cabinet,White High Gloss,Plywood,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-ply-pgw-3db21.glb,https://www.oppeincabinetry.ca/shop/ply-pgw-3db21-3-drawer-base-cabinet-15436,
oppein-ply-wss-3db18,OPPEIN,PLY-WSS-3DB18,3 Drawer Base Cabinet,White Single Shaker,Plywood,model_ready,457.2,762.0,606.425,/cabinet-library/models/PLY-WSS-3DB18.glb,https://www.oppeincabinetry.ca/shop/ply-wss-3db18-3-drawer-base-cabinet-9934,
oppein-ply-wss-3db21,OPPEIN,PLY-WSS-3DB21,3 Drawer Base Cabinet,White Single Shaker,Plywood,model_ready,533.4,762.0,606.425,/cabinet-library/models/PLY-WSS-3DB21.glb,https://www.oppeincabinetry.ca/shop/ply-wss-3db21-3-drawer-base-cabinet-9931,
oppein-pb-mnw-3db36,OPPEIN,PB-MNW-3DB36,3 Drawer Base Cabinet,Natural Wood,Particle board,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-mnw-3db36.glb,https://www.oppeincabinetry.ca/shop/pb-mnw-3db36-3-drawer-base-cabinet-18620,
oppein-pb-mnw-3db33,OPPEIN,PB-MNW-3DB33,3 Drawer Base Cabinet,Natural Wood,Particle board,model_ready,838.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-mnw-3db33.glb,https://www.oppeincabinetry.ca/shop/pb-mnw-3db33-3-drawer-base-cabinet-18619,
oppein-pb-mnw-3db30,OPPEIN,PB-MNW-3DB30,3 Drawer Base Cabinet,Natural Wood,Particle board,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-mnw-3db30.glb,https://www.oppeincabinetry.ca/shop/pb-mnw-3db30-3-drawer-base-cabinet-18618,
oppein-pb-mnw-3db27,OPPEIN,PB-MNW-3DB27,3 Drawer Base Cabinet,Natural Wood,Particle board,model_ready,685.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-mnw-3db27.glb,https://www.oppeincabinetry.ca/shop/pb-mnw-3db27-3-drawer-base-cabinet-18617,
oppein-pb-mnw-3db24,OPPEIN,PB-MNW-3DB24,3 Drawer Base Cabinet,Natural Wood,Particle board,model_ready,609.6,762.0,606.425,/cabinet-inventory/models/oppein-pb-mnw-3db24.glb,https://www.oppeincabinetry.ca/shop/pb-mnw-3db24-3-drawer-base-cabinet-18616,
oppein-pb-mnw-3db21,OPPEIN,PB-MNW-3DB21,3 Drawer Base Cabinet,Natural Wood,Particle board,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-mnw-3db21.glb,https://www.oppeincabinetry.ca/shop/pb-mnw-3db21-3-drawer-base-cabinet-18615,
